구,합계_개소,합계_판매면적,합계_건물연면적,대형마트_개소,대형마트_판매면적,대형마트_건물연면적,백화점_개소,백화점_판매면적,백화점_건물연면적,전문점_개소,전문점_판매면적,전문점_건물연면적,쇼핑센터_개소,쇼핑센터_판매면적,쇼핑센터_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_판매면적,복합쇼핑몰_건물연면적,그밖의 대규모점포_개소,그밖의 대규모점포_판매면적,그밖의 대규모점포_건물연면적
소계,470,4832416,26207971,59,644948,5238365,30,943768,4069380,21,311377,2791165,38,761771,4107494,10,202375,1534047,312,1968177,8467521
종로구,12,133876,444978,-,-,-,-,-,-,2,16256,168311,-,-,-,-,-,-,10,117620,276667
중구,53,824458,4311058,2,31231,408605,3,129806,257042,2,21856,520932,8,135336,402147,-,-,-,38,506229,2722332
용산구,15,281000,949149,2,14165,27557,1,17898,276688,5,139598,230512,3,97992,298680,-,-,-,4,11347,115712
성동구,13,91378,598746,2,26084,198358,-,-,-,1,27129,31845,-,-,-,1,13997,142038,9,24168,226505
광진구,19,99408,822946,2,14314,313848,1,27017,88630,-,-,-,-,-,-,-,-,-,16,58077,420468
동대문구,22,160875,771692,2,18463,220971,1,33839,177793,3,25815,75102,-,-,-,-,-,-,16,82758,297826
중랑구,14,98711,586582,6,59713,257850,-,-,-,-,-,-,-,-,-,1,16011,232943,7,22987,95789
성북구,21,87861,329447,3,34768,163782,1,35955,88679,-,-,-,-,-,-,1,6473,26488,16,10665,50498
강북구,13,83831,192783,1,8319,19709,1,45651,73173,-,-,-,2,7925,37901,-,-,-,9,21936,62000
도봉구,9,53923,141130,3,25115,91084,-,-,-,-,-,-,-,-,-,-,-,-,6,28808,50046
노원구,14,164758,506793,2,14655,94373,2,50179,132704,-,-,-,1,35563,99968,-,-,-,9,64361,179748
은평구,17,142095,482248,2,22986,139162,-,-,-,-,-,-,4,37538,145047,1,57505,160220,10,24066,37819
서대문구,9,80282,199525,-,-,-,1,35472,84575,-,-,-,-,-,-,-,-,-,8,44810,114950
마포구,16,77831,657614,3,30122,446005,-,-,-,1,6726,29002,1,9445,54235,-,-,-,11,31538,128372
양천구,20,149357,453681,1,14074,59518,1,62577,239441,-,-,-,1,19765,47172,-,-,-,17,52941,107550
강서구,15,170268,695800,3,47408,167576,1,34259,110026,-,-,-,1,67679,315098,-,-,-,10,20922,103100
구로구,24,318487,1830202,4,40587,569584,2,61978,210647,-,-,-,1,4389,13224,-,-,-,17,211533,1036747
금천구,15,328702,968962,3,51761,160588,-,-,-,-,-,-,6,114559,532549,1,16023,98996,5,146359,176829
영등포구,28,342134,1248636,5,58789,392973,2,50499,146749,2,11963,113125,3,82630,385067,1,38727,84288,15,99526,126434
동작구,6,23288,35219,-,-,-,1,11900,15248,-,-,-,-,-,-,-,-,-,5,11388,19971
관악구,21,90199,318884,1,8692,32282,1,21061,91647,-,-,-,1,3384,7870,3,23322,87194,15,33739,99891
서초구,28,310321,1555646,4,32676,355985,2,68781,286004,3,54034,231184,-,-,-,-,-,-,19,154830,682473
강남구,32,255893,1815204,1,5174,46778,6,132245,318845,-,-,-,3,18083,443334,1,30317,701880,21,70074,304367
송파구,22,349032,5866062,4,60029,963551,2,90670,1371828,2,8000,1391152,3,127484,1325202,-,-,-,11,62849,814329
강동구,12,114448,424984,3,25823,108225,1,33980,99661,-,-,-,-,-,-,-,-,-,8,54645,217098
